,1BathRoomWatet,timestamp
161,PRESENT,2022-01-29 14:56:03.775000+01:00
162,NOT_PRESENT,2022-01-29 14:56:05.105000+01:00
163,PRESENT,2022-01-29 14:58:05.064000+01:00
164,NOT_PRESENT,2022-01-29 14:58:09.028000+01:00
165,PRESENT,2022-01-29 14:59:08.385000+01:00
166,NOT_PRESENT,2022-01-29 14:59:09.713000+01:00
167,PRESENT,2022-01-29 14:59:14.596000+01:00
168,NOT_PRESENT,2022-01-29 15:00:01.240000+01:00
169,PRESENT,2022-01-29 15:00:04.985000+01:00
170,NOT_PRESENT,2022-01-29 15:00:06.292000+01:00
171,PRESENT,2022-01-29 15:00:13.060000+01:00
172,NOT_PRESENT,2022-01-29 15:00:14.372000+01:00
173,PRESENT,2022-01-29 15:00:16.081000+01:00
174,NOT_PRESENT,2022-01-29 15:00:17.389000+01:00
175,PRESENT,2022-01-29 15:01:03.538000+01:00
176,NOT_PRESENT,2022-01-29 15:01:17.781000+01:00
177,PRESENT,2022-01-29 15:01:21.457000+01:00
178,NOT_PRESENT,2022-01-29 15:01:22.769000+01:00
179,PRESENT,2022-01-29 15:02:15.270000+01:00
180,NOT_PRESENT,2022-01-29 15:02:16.572000+01:00
181,PRESENT,2022-01-29 15:02:18.280000+01:00
182,NOT_PRESENT,2022-01-29 15:02:19.587000+01:00
183,PRESENT,2022-01-29 15:02:35.264000+01:00
184,NOT_PRESENT,2022-01-29 15:02:37.463000+01:00
185,PRESENT,2022-01-29 15:02:50.826000+01:00
186,NOT_PRESENT,2022-01-29 15:02:55.630000+01:00
187,PRESENT,2022-01-29 15:03:01.329000+01:00
188,NOT_PRESENT,2022-01-29 15:03:02.634000+01:00
189,PRESENT,2022-01-29 15:03:48.126000+01:00
190,NOT_PRESENT,2022-01-29 15:04:23.416000+01:00
191,PRESENT,2022-01-29 15:04:48.128000+01:00
192,NOT_PRESENT,2022-01-29 15:04:49.432000+01:00
193,PRESENT,2022-01-29 15:05:02.998000+01:00
194,NOT_PRESENT,2022-01-29 15:06:40.253000+01:00
195,PRESENT,2022-01-29 15:06:53.989000+01:00
196,NOT_PRESENT,2022-01-29 15:07:08.863000+01:00
197,PRESENT,2022-01-29 15:07:14.735000+01:00
198,NOT_PRESENT,2022-01-29 15:07:23.515000+01:00
199,PRESENT,2022-01-29 15:07:31.353000+01:00
200,NOT_PRESENT,2022-01-29 15:07:36.644000+01:00
201,PRESENT,2022-01-29 15:07:38.355000+01:00
202,NOT_PRESENT,2022-01-29 15:07:47.108000+01:00
203,PRESENT,2022-01-29 15:07:57.389000+01:00
204,NOT_PRESENT,2022-01-29 15:08:07.913000+01:00
205,PRESENT,2022-01-29 15:40:14.046000+01:00
206,NOT_PRESENT,2022-01-29 15:40:16.070000+01:00
207,PRESENT,2022-01-29 15:42:47.981000+01:00
208,NOT_PRESENT,2022-01-29 15:42:54.821000+01:00
209,PRESENT,2022-01-29 15:42:56.561000+01:00
210,NOT_PRESENT,2022-01-29 15:42:57.898000+01:00
211,PRESENT,2022-01-29 15:43:01.240000+01:00
212,NOT_PRESENT,2022-01-29 15:43:05.109000+01:00
213,PRESENT,2022-01-29 15:43:09.381000+01:00
214,NOT_PRESENT,2022-01-29 15:43:10.725000+01:00
215,PRESENT,2022-01-29 15:43:16.896000+01:00
216,NOT_PRESENT,2022-01-29 15:43:18.239000+01:00
217,PRESENT,2022-01-29 20:13:28.767000+01:00
218,NOT_PRESENT,2022-01-29 20:13:30.102000+01:00
219,PRESENT,2022-01-29 20:36:38.635000+01:00
220,NOT_PRESENT,2022-01-29 20:36:39.963000+01:00
221,PRESENT,2022-01-30 09:43:32.907000+01:00
222,NOT_PRESENT,2022-01-30 09:43:36.973000+01:00
223,PRESENT,2022-01-30 09:43:44.818000+01:00
224,NOT_PRESENT,2022-01-30 09:43:46.151000+01:00
225,PRESENT,2022-01-30 11:38:11.232000+01:00
226,NOT_PRESENT,2022-01-30 11:38:12.576000+01:00
227,PRESENT,2022-01-30 11:38:24.508000+01:00
228,NOT_PRESENT,2022-01-30 11:38:25.844000+01:00
229,PRESENT,2022-01-30 11:39:02.777000+01:00
230,NOT_PRESENT,2022-01-30 11:39:04.106000+01:00
231,PRESENT,2022-01-30 11:39:08.529000+01:00
232,NOT_PRESENT,2022-01-30 11:39:09.859000+01:00
233,PRESENT,2022-01-30 12:06:29.261000+01:00
234,NOT_PRESENT,2022-01-30 12:06:31.514000+01:00
235,PRESENT,2022-01-30 12:06:34.605000+01:00
236,NOT_PRESENT,2022-01-30 12:06:40.953000+01:00
237,PRESENT,2022-01-30 12:06:46.543000+01:00
238,NOT_PRESENT,2022-01-30 12:06:47.871000+01:00
239,PRESENT,2022-01-30 12:06:59.279000+01:00
240,NOT_PRESENT,2022-01-30 12:07:01.526000+01:00
241,PRESENT,2022-01-30 12:07:11.558000+01:00
242,NOT_PRESENT,2022-01-30 12:07:12.891000+01:00
243,PRESENT,2022-01-30 12:08:01.241000+01:00
244,NOT_PRESENT,2022-01-30 12:08:02.568000+01:00
245,PRESENT,2022-01-30 12:08:24.183000+01:00
246,NOT_PRESENT,2022-01-30 12:08:25.509000+01:00
247,PRESENT,2022-01-30 12:08:32.159000+01:00
248,NOT_PRESENT,2022-01-30 12:08:33.484000+01:00
249,PRESENT,2022-01-30 12:08:50.152000+01:00
250,NOT_PRESENT,2022-01-30 12:08:51.474000+01:00
251,PRESENT,2022-01-30 13:02:59.705000+01:00
252,NOT_PRESENT,2022-01-30 13:03:01.036000+01:00
253,PRESENT,2022-01-30 17:58:02.661000+01:00
254,NOT_PRESENT,2022-01-30 17:58:06.025000+01:00
255,PRESENT,2022-01-30 17:58:24.196000+01:00
256,NOT_PRESENT,2022-01-30 17:58:25.523000+01:00
257,PRESENT,2022-01-31 07:20:44.401000+01:00
258,NOT_PRESENT,2022-01-31 07:20:51.870000+01:00
259,PRESENT,2022-01-31 10:36:22.144000+01:00
260,NOT_PRESENT,2022-01-31 10:36:27.716000+01:00
261,PRESENT,2022-01-31 10:36:33.060000+01:00
262,NOT_PRESENT,2022-01-31 10:36:34.389000+01:00
263,PRESENT,2022-01-31 10:36:47.811000+01:00
264,NOT_PRESENT,2022-01-31 10:36:49.137000+01:00
265,PRESENT,2022-01-31 10:37:23.637000+01:00
266,NOT_PRESENT,2022-01-31 10:37:24.967000+01:00
267,PRESENT,2022-01-31 10:38:36.512000+01:00
268,NOT_PRESENT,2022-01-31 10:38:39.409000+01:00
269,PRESENT,2022-01-31 18:40:17.888000+01:00
270,NOT_PRESENT,2022-01-31 18:40:19.214000+01:00
271,PRESENT,2022-01-31 18:40:39.423000+01:00
272,NOT_PRESENT,2022-01-31 18:40:40.750000+01:00
273,PRESENT,2022-01-31 20:08:44+01:00
274,NOT_PRESENT,2022-01-31 20:08:45.342000+01:00
275,PRESENT,2022-02-01 10:45:38.810000+01:00
276,NOT_PRESENT,2022-02-01 10:45:40.140000+01:00
277,PRESENT,2022-02-01 10:46:25.378000+01:00
278,NOT_PRESENT,2022-02-01 10:46:35.956000+01:00
279,PRESENT,2022-02-01 10:46:39.036000+01:00
280,NOT_PRESENT,2022-02-01 10:46:40.368000+01:00
281,PRESENT,2022-02-01 10:46:43.012000+01:00
282,NOT_PRESENT,2022-02-01 10:46:45.258000+01:00
283,PRESENT,2022-02-01 10:46:49.003000+01:00
284,NOT_PRESENT,2022-02-01 10:46:50.334000+01:00
285,PRESENT,2022-02-01 10:46:52.066000+01:00
286,NOT_PRESENT,2022-02-01 10:46:53.395000+01:00
287,PRESENT,2022-02-01 10:47:01.640000+01:00
288,NOT_PRESENT,2022-02-01 10:47:02.969000+01:00
289,PRESENT,2022-02-01 10:47:47.214000+01:00
290,NOT_PRESENT,2022-02-01 10:47:48.538000+01:00
291,PRESENT,2022-02-01 12:11:46.799000+01:00
292,NOT_PRESENT,2022-02-01 12:11:48.141000+01:00
293,PRESENT,2022-02-01 12:11:54.636000+01:00
294,NOT_PRESENT,2022-02-01 12:11:55.973000+01:00
295,PRESENT,2022-02-01 18:55:59.193000+01:00
296,NOT_PRESENT,2022-02-01 18:56:00.527000+01:00
297,PRESENT,2022-02-01 20:20:02.556000+01:00
298,NOT_PRESENT,2022-02-01 20:20:03.883000+01:00
299,PRESENT,2022-02-01 20:20:08.272000+01:00
300,NOT_PRESENT,2022-02-01 20:20:09.590000+01:00
301,PRESENT,2022-02-01 20:20:26.846000+01:00
302,NOT_PRESENT,2022-02-01 20:20:28.830000+01:00
303,PRESENT,2022-02-01 20:21:16.708000+01:00
304,NOT_PRESENT,2022-02-01 20:21:18.036000+01:00
305,PRESENT,2022-02-01 20:21:24.918000+01:00
306,NOT_PRESENT,2022-02-01 20:21:31.146000+01:00
307,PRESENT,2022-02-01 20:21:32.865000+01:00
308,NOT_PRESENT,2022-02-01 20:21:34.842000+01:00
309,PRESENT,2022-02-01 20:21:52.029000+01:00
310,NOT_PRESENT,2022-02-01 20:21:53.349000+01:00
311,PRESENT,2022-02-01 20:22:40.025000+01:00
312,NOT_PRESENT,2022-02-02 02:48:24.649000+01:00
313,PRESENT,2022-02-02 07:14:22.280000+01:00
314,NOT_PRESENT,2022-02-02 11:16:07.440000+01:00
315,PRESENT,2022-02-02 11:16:10.357000+01:00
316,NOT_PRESENT,2022-02-02 15:29:52.004000+01:00
317,PRESENT,2022-02-03 12:02:28.872000+01:00
318,NOT_PRESENT,2022-02-03 15:34:02.223000+01:00
319,PRESENT,2022-02-05 11:03:51.981000+01:00
320,NOT_PRESENT,2022-02-05 16:35:39.406000+01:00
321,PRESENT,2022-02-06 12:21:52.780000+01:00
322,NOT_PRESENT,2022-02-06 19:19:46.065000+01:00
323,PRESENT,2022-02-07 13:48:49.716000+01:00
0,NOT_PRESENT,2022-02-08 01:01:27.606000+01:00
1,PRESENT,2022-02-08 10:09:47.572000+01:00
2,NOT_PRESENT,2022-02-08 16:00:10.209000+01:00
0,PRESENT,2022-02-10 09:52:35.553000+01:00
1,NOT_PRESENT,2022-02-10 13:29:49.582000+01:00
0,PRESENT,2022-02-11 15:02:10.312000+01:00
1,NOT_PRESENT,2022-02-11 18:58:34.273000+01:00
0,PRESENT,2022-02-12 10:36:43.827000+01:00
0,NOT_PRESENT,2022-02-12 21:25:47.747000+01:00
1,PRESENT,2022-02-13 10:54:14.657000+01:00
2,NOT_PRESENT,2022-02-13 18:14:47.270000+01:00
0,PRESENT,2022-02-14 10:18:33.001000+01:00
1,NOT_PRESENT,2022-02-14 16:07:11.608000+01:00
0,PRESENT,2022-02-15 10:02:00.169000+01:00
1,NOT_PRESENT,2022-02-15 17:08:14.681000+01:00
0,PRESENT,2022-02-16 09:51:31.607000+01:00
1,NOT_PRESENT,2022-02-16 17:21:15.365000+01:00
0,PRESENT,2022-02-17 08:09:20.185000+01:00
1,NOT_PRESENT,2022-02-17 14:28:33.593000+01:00
2,PRESENT,2022-02-17 14:33:02.826000+01:00
3,NOT_PRESENT,2022-02-17 17:03:13.870000+01:00
0,PRESENT,2022-02-19 09:41:12.285000+01:00
1,NOT_PRESENT,2022-02-19 15:50:35.531000+01:00
0,PRESENT,2022-02-20 11:05:22.968000+01:00
0,NOT_PRESENT,2022-02-21 04:27:55.118000+01:00
1,PRESENT,2022-02-21 10:16:55.256000+01:00
0,NOT_PRESENT,2022-02-21 22:05:46.783000+01:00
1,PRESENT,2022-02-22 08:55:03.251000+01:00
0,NOT_PRESENT,2022-02-22 23:08:36.246000+01:00
1,PRESENT,2022-02-23 11:19:52.039000+01:00
2,NOT_PRESENT,2022-02-23 16:56:55.891000+01:00
0,PRESENT,2022-02-24 09:45:34.150000+01:00
1,NOT_PRESENT,2022-02-24 11:13:50.030000+01:00
2,PRESENT,2022-02-24 12:43:35.104000+01:00
3,NOT_PRESENT,2022-02-24 18:00:43.983000+01:00
0,PRESENT,2022-02-26 10:54:55.614000+01:00
0,NOT_PRESENT,2022-02-27 03:30:36.623000+01:00
1,PRESENT,2022-02-27 12:47:46.087000+01:00
0,NOT_PRESENT,2022-02-28 02:26:29.290000+01:00
0,PRESENT,2022-03-01 14:14:58.153000+01:00
0,NOT_PRESENT,2022-03-01 23:11:06.884000+01:00
1,PRESENT,2022-03-02 12:10:08.254000+01:00
2,NOT_PRESENT,2022-03-02 16:20:48.866000+01:00
0,PRESENT,2022-03-03 11:11:25.006000+01:00
0,NOT_PRESENT,2022-03-04 03:30:36.555000+01:00
1,PRESENT,2022-03-04 08:55:55.608000+01:00
0,NOT_PRESENT,2022-03-05 07:47:04.955000+01:00
1,PRESENT,2022-03-05 16:28:45.456000+01:00
0,NOT_PRESENT,2022-03-05 21:18:29.417000+01:00
1,PRESENT,2022-03-06 15:13:39.791000+01:00
0,NOT_PRESENT,2022-03-07 06:52:24.748000+01:00
1,PRESENT,2022-03-07 12:14:07.969000+01:00
2,NOT_PRESENT,2022-03-07 18:08:34.209000+01:00
0,PRESENT,2022-03-08 09:26:37.523000+01:00
0,NOT_PRESENT,2022-03-08 21:48:22.658000+01:00
0,PRESENT,2022-03-10 12:05:03.165000+01:00
1,NOT_PRESENT,2022-03-10 13:47:19.348000+01:00
2,PRESENT,2022-03-10 14:00:08.559000+01:00
0,NOT_PRESENT,2022-03-10 23:27:23.786000+01:00
1,PRESENT,2022-03-11 11:36:08.959000+01:00
2,NOT_PRESENT,2022-03-11 19:39:07.479000+01:00
3,PRESENT,2022-03-11 20:09:32.192000+01:00
0,NOT_PRESENT,2022-03-11 20:49:31.400000+01:00
1,PRESENT,2022-03-12 13:24:29.646000+01:00
2,NOT_PRESENT,2022-03-12 19:48:12.043000+01:00
0,PRESENT,2022-03-13 14:27:02.114000+01:00
0,NOT_PRESENT,2022-03-14 00:50:26.937000+01:00
1,PRESENT,2022-03-14 09:47:20.013000+01:00
2,NOT_PRESENT,2022-03-14 15:03:22.144000+01:00
0,PRESENT,2022-03-15 07:05:02.678000+01:00
1,NOT_PRESENT,2022-03-15 12:55:42.099000+01:00
0,PRESENT,2022-03-16 09:31:06.451000+01:00
1,NOT_PRESENT,2022-03-16 14:22:19.178000+01:00
0,PRESENT,2022-03-18 12:46:07.991000+01:00
0,NOT_PRESENT,2022-03-18 20:38:28.429000+01:00
1,PRESENT,2022-03-19 10:21:06.063000+01:00
2,NOT_PRESENT,2022-03-19 16:40:44.190000+01:00
0,PRESENT,2022-03-20 11:43:10.825000+01:00
0,NOT_PRESENT,2022-03-20 22:00:36.515000+01:00
1,PRESENT,2022-03-21 09:57:06.306000+01:00
2,NOT_PRESENT,2022-03-21 19:40:46.329000+01:00
0,PRESENT,2022-03-22 09:42:12.438000+01:00
1,NOT_PRESENT,2022-03-22 15:37:41.903000+01:00
0,PRESENT,2022-03-23 07:23:42.125000+01:00
1,NOT_PRESENT,2022-03-23 13:30:35.596000+01:00
0,PRESENT,2022-03-24 08:44:43.856000+01:00
1,NOT_PRESENT,2022-03-24 13:51:22.691000+01:00
2,PRESENT,2022-03-24 13:53:30.109000+01:00
3,NOT_PRESENT,2022-03-24 16:10:39.473000+01:00
0,PRESENT,2022-03-25 08:52:03.455000+01:00
1,NOT_PRESENT,2022-03-25 14:45:03.692000+01:00
0,PRESENT,2022-03-26 13:51:24.867000+01:00
1,NOT_PRESENT,2022-03-26 18:35:29.787000+01:00
0,PRESENT,2022-03-27 12:40:30.611000+02:00
1,NOT_PRESENT,2022-03-27 15:59:43.655000+02:00
0,PRESENT,2022-03-28 07:51:08.758000+02:00
1,NOT_PRESENT,2022-03-28 15:48:22.170000+02:00
0,PRESENT,2022-03-29 07:38:08.608000+02:00
1,NOT_PRESENT,2022-03-29 12:26:27.409000+02:00
0,PRESENT,2022-03-30 07:06:27.272000+02:00
1,NOT_PRESENT,2022-03-30 11:33:09.363000+02:00
0,PRESENT,2022-03-31 12:08:17.835000+02:00
1,NOT_PRESENT,2022-03-31 16:35:17.123000+02:00
0,PRESENT,2022-04-01 15:20:49.298000+02:00
0,NOT_PRESENT,2022-04-01 22:05:08.935000+02:00
1,PRESENT,2022-04-02 11:37:12.605000+02:00
2,NOT_PRESENT,2022-04-02 15:16:43.651000+02:00
0,PRESENT,2022-04-03 09:43:16.338000+02:00
1,NOT_PRESENT,2022-04-03 19:29:07.892000+02:00
0,PRESENT,2022-04-04 09:24:03.574000+02:00
1,NOT_PRESENT,2022-04-04 10:17:27.757000+02:00
0,PRESENT,2022-04-05 10:22:58.277000+02:00
1,NOT_PRESENT,2022-04-05 14:41:53.602000+02:00
0,PRESENT,2022-04-06 09:38:24.996000+02:00
1,NOT_PRESENT,2022-04-06 12:35:15.092000+02:00
0,PRESENT,2022-04-07 12:30:42.819000+02:00
1,NOT_PRESENT,2022-04-07 12:53:15.729000+02:00
2,PRESENT,2022-04-07 14:12:12.697000+02:00
3,NOT_PRESENT,2022-04-07 20:26:02.115000+02:00
0,PRESENT,2022-04-08 17:10:38.258000+02:00
0,NOT_PRESENT,2022-04-08 22:16:07.442000+02:00
1,PRESENT,2022-04-09 11:02:30.947000+02:00
2,NOT_PRESENT,2022-04-09 16:53:26.620000+02:00
0,PRESENT,2022-04-10 16:28:50.696000+02:00
0,NOT_PRESENT,2022-04-10 21:44:25.040000+02:00
1,PRESENT,2022-04-11 11:40:51.656000+02:00
2,NOT_PRESENT,2022-04-11 16:24:06.790000+02:00
3,PRESENT,2022-04-11 17:28:16.404000+02:00
0,NOT_PRESENT,2022-04-11 23:15:41.983000+02:00
1,PRESENT,2022-04-12 13:49:37.955000+02:00
2,NOT_PRESENT,2022-04-12 19:01:40.163000+02:00
0,PRESENT,2022-04-13 13:06:38.524000+02:00
1,NOT_PRESENT,2022-04-13 16:29:23.285000+02:00
2,PRESENT,2022-04-13 16:30:06.240000+02:00
3,NOT_PRESENT,2022-04-13 16:30:45.583000+02:00
4,PRESENT,2022-04-13 16:31:02.330000+02:00
5,NOT_PRESENT,2022-04-13 16:31:21.781000+02:00
6,PRESENT,2022-04-13 16:31:33.036000+02:00
7,NOT_PRESENT,2022-04-13 16:31:44.506000+02:00
8,PRESENT,2022-04-13 16:32:13.570000+02:00
9,NOT_PRESENT,2022-04-13 16:32:23.737000+02:00
